start_time,date,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1672531200000,2023-01-01,0.41641814,0.44977455,2590.6862023,7204.03379823
1672617600000,2023-01-02,0.39617999,0.46622884,1243.43669265,7808.31149949
1672704000000,2023-01-03,0.36939118,0.43087179,1803.94986961,8678.47644851
1672790400000,2023-01-04,1.02903997,0.51192877,14912.57756755,26545.1151917
1672876800000,2023-01-05,0.37562524,0.49677465,2463.56311222,9648.30981018
1672963200000,2023-01-06,0.40987522,0.48928798,2562.99463848,11269.92892648
1673049600000,2023-01-07,0.30414546,0.47152503,2348.14751354,7225.27947055
1673136000000,2023-01-08,0.26432262,0.4497971,1086.72294513,5174.37952851
1673222400000,2023-01-09,0.48910577,0.46307221,1798.83383798,12398.83116136
1673308800000,2023-01-10,0.45540985,0.47536059,1508.04498766,11719.06170316
1673395200000,2023-01-11,0.44669798,0.39216888,1689.23452306,11262.59626888
1673481600000,2023-01-12,0.66597275,0.43364709,3194.94767201,20290.85761402
1673568000000,2023-01-13,0.54543961,0.45301343,2117.41650557,16946.26317775
1673654400000,2023-01-14,0.70842197,0.51076722,3842.80282677,22223.19731024
1673740800000,2023-01-15,0.53998477,0.55014753,3047.63679486,11716.04960841
1673827200000,2023-01-16,0.42307995,0.54071527,1511.29601302,10504.65201207
1673913600000,2023-01-17,0.40201838,0.53308792,1142.54322347,10152.17016935
1674000000000,2023-01-18,0.53647797,0.54591363,2593.3984873,14314.30515477
1674086400000,2023-01-19,0.81620871,0.56737591,11724.9576825,21488.32661554
1674172800000,2023-01-20,0.45438885,0.55436866,1982.22905008,13092.30583062
1674259200000,2023-01-21,0.46336983,0.51936121,3299.1302317,13135.14465893
1674345600000,2023-01-22,0.42331897,0.50269467,1933.58166713,8906.20780044
1674432000000,2023-01-23,0.47356512,0.50990683,2688.012322,11457.90809215
1674518400000,2023-01-24,0.38902285,0.50805033,1500.31646001,9815.04658665
1674604800000,2023-01-25,0.47061107,0.49864077,2058.14931182,12524.37227445
1674691200000,2023-01-26,0.40941101,0.44052681,1745.20760102,10648.78028723
1674777600000,2023-01-27,0.43552706,0.43783227,2423.15197834,12018.80476716
