start_time,date,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1672531200000,2023-01-01,6.4133132,6.86428509,3194.55260131,6830.17855629
1672617600000,2023-01-02,6.50190135,7.03822129,2608.45350415,7724.25880647
1672704000000,2023-01-03,9.52272068,7.30181484,5078.54124934,11322.51489219
1672790400000,2023-01-04,9.04640648,7.65909609,2787.54308678,10846.64137397
1672876800000,2023-01-05,9.77211374,8.00678677,4104.32250177,11921.9787577
1672963200000,2023-01-06,10.62351632,8.10380916,3497.99847992,12875.70177484
1673049600000,2023-01-07,4.76670466,8.09238235,2039.06411311,5443.57671632
1673136000000,2023-01-08,4.97923525,7.88751407,2050.43308602,5208.28007446
1673222400000,2023-01-09,6.37932254,7.87000281,2997.91483749,15138.1323769
1673308800000,2023-01-10,4.89837222,7.2093816,2922.32044435,13460.72687002
1673395200000,2023-01-11,4.59583183,6.57358522,2734.274166,13906.9871223
1673481600000,2023-01-12,10.2863013,6.64704059,2601.64878931,16406.65057332
1673568000000,2023-01-13,15.708956,7.37353197,3379.77596221,20767.23983164
1673654400000,2023-01-14,14.12194266,8.70999454,4053.95089784,18245.54991045
1673740800000,2023-01-15,12.47754067,9.78118103,4442.48287431,9096.12715183
1673827200000,2023-01-16,7.69398427,9.96898985,2711.15741994,11848.73578025
1673913600000,2023-01-17,8.27320132,10.45110829,2246.70507154,10018.84679258
1674000000000,2023-01-18,10.15916241,11.2458698,4513.06819571,12302.74567895
1674086400000,2023-01-19,9.67741403,11.15888591,3698.87178424,11999.99339223
1674172800000,2023-01-20,20.76933979,11.88179788,12352.72586965,25899.36671874
1674259200000,2023-01-21,7.96216535,11.00182969,2826.35068321,9809.38771328
1674345600000,2023-01-22,7.39007878,10.27504942,2684.40070211,8166.03705132
1674432000000,2023-01-23,8.01986737,10.32160415,2905.82448488,9479.48323279
1674518400000,2023-01-24,11.02573059,10.71482262,2721.19122767,12867.02760072
1674604800000,2023-01-25,10.21561529,10.72288731,2966.00906751,12554.99119315
1674691200000,2023-01-26,8.57238412,10.5650259,3200.84035873,10355.4400214
1674777600000,2023-01-27,10.61390011,9.1142488,3814.30426311,12853.43303835
1674864000000,2023-01-28,6.38447516,8.88886449,2169.76588652,7131.45875674
1674950400000,2023-01-29,5.86509611,8.67100982,1937.48150295,6709.66994897
1675036800000,2023-01-30,8.83560505,8.78754378,3182.40589232,10797.10936649
1675123200000,2023-01-31,8.31105442,8.39973289,2833.5905424,9881.84371067
1675209600000,2023-02-01,8.60724381,8.16996554,4231.10538812,10759.05476268
1675296000000,2023-02-02,13.25984882,8.83960335,3534.48024886,17410.1815019
1675382400000,2023-02-03,9.6266852,8.69857265,3095.74985169,12331.78374417
1675468800000,2023-02-04,5.96633125,8.63883781,2354.43008489,7105.90051499
1675555200000,2023-02-05,4.62797216,8.46210582,1872.34312294,5622.98617572
1675641600000,2023-02-06,8.68308006,8.44031653,2292.53470339,10393.64683136
1675728000000,2023-02-07,7.88987077,8.38014744,2415.16523009,9854.44858726
1675814400000,2023-02-08,6.47437249,8.07545154,1861.48034228,7795.14447806
1675900800000,2023-02-09,9.09766063,7.48085322,2092.27777871,11826.95881859
1675987200000,2023-02-10,8.85322061,7.37035828,2422.36098243,11101.93864885
1676073600000,2023-02-11,4.01739477,7.09193878,1213.46500161,4439.22121825
1676160000000,2023-02-12,5.83362543,7.26417497,2410.81403483,7029.5186442
1676246400000,2023-02-13,13.15828979,7.90349064,4057.09217648,16132.06328388
1676332800000,2023-02-14,11.22258987,8.37959337,1676.84547604,10874.68958638
1676419200000,2023-02-15,9.57076868,8.82193568,4732.67979546,14317.86993939
1676505600000,2023-02-16,10.52319615,9.02558361,2230.65237665,13743.29417064
1676592000000,2023-02-17,11.19889512,9.36067997,4399.58551302,15185.70177791
1676678400000,2023-02-18,4.68691155,9.45632523,2476.22248122,6552.30234927
1676764800000,2023-02-19,5.69084897,9.43592859,1434.94764364,6806.25536307
1676851200000,2023-02-20,7.31294787,8.60087974,1842.94495426,8746.28564747
1676937600000,2023-02-21,7.36879631,8.05033781,1757.38438592,9218.36417911
1677024000000,2023-02-22,7.84884883,7.80434926,2034.02147004,9630.53751332
1677110400000,2023-02-23,10.77247201,7.83996009,3242.07372929,13627.17709781
1677196800000,2023-02-24,9.19396352,7.55354129,2423.03197738,12071.67409585
1677283200000,2023-02-25,6.01781217,7.74366995,2103.57276386,6950.57305229
1677369600000,2023-02-26,4.37051298,7.55505053,1157.24088161,4916.82709821
1677456000000,2023-02-27,8.54237559,7.73068306,2334.1633996,10532.74910565
1677542400000,2023-02-28,8.37272126,7.87410091,2043.58097232,10164.48361363
1677628800000,2023-03-01,10.40074349,8.23865729,4385.82021111,13624.97396933
1677715200000,2023-03-02,6.88122372,7.68276468,1977.3544117,8539.59863581
1677801600000,2023-03-03,13.84518693,8.34722516,4385.85730727,18483.32455424
1677888000000,2023-03-04,5.46535309,8.26830244,1693.58822184,6476.4434173
1677974400000,2023-03-05,6.09754775,8.51502169,1869.96918798,6951.20443639
1678060800000,2023-03-06,7.4621298,8.36070086,2072.71298543,9253.0409507
1678147200000,2023-03-07,8.19519899,8.33534054,1926.11861708,10571.80669139
1678233600000,2023-03-08,17.41546187,9.33744316,10325.35915969,18843.52974551
1678320000000,2023-03-09,10.62724109,9.8725885,3771.3310101,15101.30959134
1678406400000,2023-03-10,20.3987151,10.80880681,5965.20407882,26681.5193539
1678492800000,2023-03-11,23.19422792,13.34150322,4199.05750433,28482.51188591
1678579200000,2023-03-12,11.59026884,14.12617766,2871.57045332,13595.38535289
1678665600000,2023-03-13,15.56673514,15.28397842,3234.73857453,21404.26081664
1678752000000,2023-03-14,16.52255311,16.47360044,4922.83347338,22520.23989281
1678838400000,2023-03-15,13.06543273,15.8521677,3722.83907541,16436.31437452
1678924800000,2023-03-16,10.73154371,15.86706808,2516.86068613,13403.69809183
1679011200000,2023-03-17,16.28121738,15.27885412,5341.14627296,22630.89216216
1679097600000,2023-03-18,8.00165413,13.10848643,2628.83268413,9970.06103989
1679184000000,2023-03-19,9.02063986,12.74139658,3780.3149884,10734.56143241
