start_time,date,exchange_whale_ratio
1672531200000,2023-01-01,0.35961605
1672617600000,2023-01-02,0.15924527
1672704000000,2023-01-03,0.20786481
1672790400000,2023-01-04,0.56178236
1672876800000,2023-01-05,0.25533624
1672963200000,2023-01-06,0.22741888
1673049600000,2023-01-07,0.32499055
1673136000000,2023-01-08,0.21001995
1673222400000,2023-01-09,0.14508092
1673308800000,2023-01-10,0.12868308
1673395200000,2023-01-11,0.14998624
1673481600000,2023-01-12,0.1574575
1673568000000,2023-01-13,0.12494887
1673654400000,2023-01-14,0.17291854
1673740800000,2023-01-15,0.26012495
1673827200000,2023-01-16,0.14386921
1673913600000,2023-01-17,0.11254177
1674000000000,2023-01-18,0.1811753
1674086400000,2023-01-19,0.54564312
1674172800000,2023-01-20,0.15140412
1674259200000,2023-01-21,0.25116817
1674345600000,2023-01-22,0.21710494
1674432000000,2023-01-23,0.23459887
1674518400000,2023-01-24,0.15285882
1674604800000,2023-01-25,0.16433153
1674691200000,2023-01-26,0.16388803
1674777600000,2023-01-27,0.20161339
1674864000000,2023-01-28,0.36619598
1674950400000,2023-01-29,0.19875258
1675036800000,2023-01-30,0.48028248
1675123200000,2023-01-31,0.16160489
1675209600000,2023-02-01,0.19462647
1675296000000,2023-02-02,0.14286188
1675382400000,2023-02-03,0.21812976
1675468800000,2023-02-04,0.29100702
1675555200000,2023-02-05,0.22287903
1675641600000,2023-02-06,0.14880044
1675728000000,2023-02-07,0.27079188
1675814400000,2023-02-08,0.18724435
1675900800000,2023-02-09,0.243371
1675987200000,2023-02-10,0.13514137
1676073600000,2023-02-11,0.18250839
1676160000000,2023-02-12,0.23820944
1676246400000,2023-02-13,0.20711169
1676332800000,2023-02-14,0.16938245
1676419200000,2023-02-15,0.16992337
1676505600000,2023-02-16,0.15793628
1676592000000,2023-02-17,0.11728461
1676678400000,2023-02-18,0.23804987
1676764800000,2023-02-19,0.16282816
1676851200000,2023-02-20,0.12242215
1676937600000,2023-02-21,0.14887447
1677024000000,2023-02-22,0.15254428
1677110400000,2023-02-23,0.14648855
1677196800000,2023-02-24,0.16929129
1677283200000,2023-02-25,0.17085904
1677369600000,2023-02-26,0.16654531
1677456000000,2023-02-27,0.14316219
1677542400000,2023-02-28,0.24798443
1677628800000,2023-03-01,0.24508704
1677715200000,2023-03-02,0.11926894
1677801600000,2023-03-03,0.17270248
1677888000000,2023-03-04,0.29255621
1677974400000,2023-03-05,0.29747691
1678060800000,2023-03-06,0.19025607
1678147200000,2023-03-07,0.11515178
1678233600000,2023-03-08,0.14599875
1678320000000,2023-03-09,0.2104959
1678406400000,2023-03-10,0.16739368
1678492800000,2023-03-11,0.25398302
1678579200000,2023-03-12,0.20078632
1678665600000,2023-03-13,0.43630177
1678752000000,2023-03-14,0.22222789
1678838400000,2023-03-15,0.25814829
1678924800000,2023-03-16,0.14811297
1679011200000,2023-03-17,0.13514372
1679097600000,2023-03-18,0.20814278
1679184000000,2023-03-19,0.14609486
1679270400000,2023-03-20,0.18214599
1679356800000,2023-03-21,0.16901235
1679443200000,2023-03-22,0.16578423
1679529600000,2023-03-23,0.16227342
1679616000000,2023-03-24,0.17869006
1679702400000,2023-03-25,0.16864041
1679788800000,2023-03-26,0.16076161
1679875200000,2023-03-27,0.11542683
1679961600000,2023-03-28,0.3524547
1680048000000,2023-03-29,0.12485092
1680134400000,2023-03-30,0.33770809
1680220800000,2023-03-31,0.22755786
1680307200000,2023-04-01,0.19713066
1680393600000,2023-04-02,0.18113497
1680480000000,2023-04-03,0.16480112
1680566400000,2023-04-04,0.1289578
1680652800000,2023-04-05,0.15837792
1680739200000,2023-04-06,0.20953769
1680825600000,2023-04-07,0.22776439
1680912000000,2023-04-08,0.25207216
1680998400000,2023-04-09,0.18418752
1681084800000,2023-04-10,0.16351472
1681171200000,2023-04-11,0.2180122
1681257600000,2023-04-12,0.15553065
1681344000000,2023-04-13,0.16558685
1681430400000,2023-04-14,0.14824146
1681516800000,2023-04-15,0.17556294
1681603200000,2023-04-16,0.43894583
1681689600000,2023-04-17,0.17349297
1681776000000,2023-04-18,0.12291062
1681862400000,2023-04-19,0.20763715
1681948800000,2023-04-20,0.2516709
1682035200000,2023-04-21,0.39160251
1682121600000,2023-04-22,0.25338994
1682208000000,2023-04-23,0.1618571
1682294400000,2023-04-24,0.14326309
1682380800000,2023-04-25,0.15112054
1682467200000,2023-04-26,0.11765615
1682553600000,2023-04-27,0.19702979
1682640000000,2023-04-28,0.140941
1682726400000,2023-04-29,0.14460357
1682812800000,2023-04-30,0.29897689
1682899200000,2023-05-01,0.21452085
1682985600000,2023-05-02,0.17383108
1683072000000,2023-05-03,0.12834189
1683158400000,2023-05-04,0.13797852
1683244800000,2023-05-05,0.16763368
1683331200000,2023-05-06,0.19209798
1683417600000,2023-05-07,0.30007539
1683504000000,2023-05-08,0.18226387
1683590400000,2023-05-09,0.14810838
1683676800000,2023-05-10,0.161684
1683763200000,2023-05-11,0.3533879
1683849600000,2023-05-12,0.1530071
1683936000000,2023-05-13,0.21235124
1684022400000,2023-05-14,0.16643685
1684108800000,2023-05-15,0.14958492
1684195200000,2023-05-16,0.16682317
1684281600000,2023-05-17,0.14106015
1684368000000,2023-05-18,0.32146727
1684454400000,2023-05-19,0.22067089
1684540800000,2023-05-20,0.15512536
1684627200000,2023-05-21,0.20888426
1684713600000,2023-05-22,0.2241206
1684800000000,2023-05-23,0.20494756
