start_time,date,fund_flow_ratio
1672531200000,2023-01-01,0.02523691
1672617600000,2023-01-02,0.02263748
1672704000000,2023-01-03,0.02422163
1672790400000,2023-01-04,0.04285734
1672876800000,2023-01-05,0.02452722
1672963200000,2023-01-06,0.02425239
1673049600000,2023-01-07,0.01699558
1673136000000,2023-01-08,0.01457092
1673222400000,2023-01-09,0.02616606
1673308800000,2023-01-10,0.02581797
1673395200000,2023-01-11,0.02924967
1673481600000,2023-01-12,0.03385394
1673568000000,2023-01-13,0.03475822
1673654400000,2023-01-14,0.04385846
1673740800000,2023-01-15,0.02769651
1673827200000,2023-01-16,0.02699947
1673913600000,2023-01-17,0.02006685
1674000000000,2023-01-18,0.0296024
1674086400000,2023-01-19,0.04114479
1674172800000,2023-01-20,0.04719367
1674259200000,2023-01-21,0.02737792
1674345600000,2023-01-22,0.02629925
1674432000000,2023-01-23,0.02469668
1674518400000,2023-01-24,0.02990765
1674604800000,2023-01-25,0.02963019
1674691200000,2023-01-26,0.02682181
1674777600000,2023-01-27,0.0315588
1674864000000,2023-01-28,0.0285284
1674950400000,2023-01-29,0.02571898
1675036800000,2023-01-30,0.0302129
1675123200000,2023-01-31,0.02156196
1675209600000,2023-02-01,0.02434263
1675296000000,2023-02-02,0.04100755
1675382400000,2023-02-03,0.02834774
1675468800000,2023-02-04,0.02776847
1675555200000,2023-02-05,0.02148218
1675641600000,2023-02-06,0.03051734
1675728000000,2023-02-07,0.02928028
1675814400000,2023-02-08,0.0241188
1675900800000,2023-02-09,0.02921501
1675987200000,2023-02-10,0.02013338
1676073600000,2023-02-11,0.01247009
1676160000000,2023-02-12,0.01806186
1676246400000,2023-02-13,0.03132059
1676332800000,2023-02-14,0.02983545
1676419200000,2023-02-15,0.03666668
1676505600000,2023-02-16,0.03203164
1676592000000,2023-02-17,0.03057701
1676678400000,2023-02-18,0.02283909
1676764800000,2023-02-19,0.02820319
1676851200000,2023-02-20,0.02712756
1676937600000,2023-02-21,0.02638451
1677024000000,2023-02-22,0.02500991
1677110400000,2023-02-23,0.02986686
1677196800000,2023-02-24,0.0293438
1677283200000,2023-02-25,0.02504519
1677369600000,2023-02-26,0.01840896
1677456000000,2023-02-27,0.02809494
1677542400000,2023-02-28,0.02545245
1677628800000,2023-03-01,0.03128763
1677715200000,2023-03-02,0.02097973
1677801600000,2023-03-03,0.03580983
1677888000000,2023-03-04,0.02522537
1677974400000,2023-03-05,0.02785963
1678060800000,2023-03-06,0.02663374
1678147200000,2023-03-07,0.025458
1678233600000,2023-03-08,0.03505616
1678320000000,2023-03-09,0.03832583
1678406400000,2023-03-10,0.04623062
1678492800000,2023-03-11,0.05464947
1678579200000,2023-03-12,0.04622287
1678665600000,2023-03-13,0.05762122
1678752000000,2023-03-14,0.0459137
1678838400000,2023-03-15,0.03482984
1678924800000,2023-03-16,0.03498069
1679011200000,2023-03-17,0.04166544
1679097600000,2023-03-18,0.03304832
1679184000000,2023-03-19,0.02425608
1679270400000,2023-03-20,0.02602826
1679356800000,2023-03-21,0.02604637
1679443200000,2023-03-22,0.03244773
1679529600000,2023-03-23,0.02803015
1679616000000,2023-03-24,0.02112019
1679702400000,2023-03-25,0.01741473
1679788800000,2023-03-26,0.01158634
1679875200000,2023-03-27,0.01912238
1679961600000,2023-03-28,0.02319765
1680048000000,2023-03-29,0.0203934
1680134400000,2023-03-30,0.02032688
1680220800000,2023-03-31,0.02177382
1680307200000,2023-04-01,0.01584435
1680393600000,2023-04-02,0.01170876
1680480000000,2023-04-03,0.01571724
1680566400000,2023-04-04,0.01524476
1680652800000,2023-04-05,0.01958914
1680739200000,2023-04-06,0.01413072
1680825600000,2023-04-07,0.01520621
1680912000000,2023-04-08,0.0153407
1680998400000,2023-04-09,0.01248238
1681084800000,2023-04-10,0.01994535
1681171200000,2023-04-11,0.0279477
1681257600000,2023-04-12,0.01525336
1681344000000,2023-04-13,0.02726776
1681430400000,2023-04-14,0.02048887
1681516800000,2023-04-15,0.01225608
1681603200000,2023-04-16,0.01664889
1681689600000,2023-04-17,0.01560894
1681776000000,2023-04-18,0.0191687
1681862400000,2023-04-19,0.02502847
1681948800000,2023-04-20,0.02490878
1682035200000,2023-04-21,0.03936024
1682121600000,2023-04-22,0.01675915
1682208000000,2023-04-23,0.01821437
1682294400000,2023-04-24,0.01793249
1682380800000,2023-04-25,0.02360503
1682467200000,2023-04-26,0.02643872
1682553600000,2023-04-27,0.02412342
1682640000000,2023-04-28,0.02152017
1682726400000,2023-04-29,0.01504933
1682812800000,2023-04-30,0.01950583
1682899200000,2023-05-01,0.0238782
1682985600000,2023-05-02,0.02367732
1683072000000,2023-05-03,0.0196674
1683158400000,2023-05-04,0.02167875
1683244800000,2023-05-05,0.02779752
