start_time,date,stablecoins_ratio,stablecoins_ratio_usd
1672531200000,2023-01-01,2.505e-05,0.41627706
1672617600000,2023-01-02,2.496e-05,0.41642967
1672704000000,2023-01-03,2.479e-05,0.41346483
1672790400000,2023-01-04,2.537e-05,0.42761227
1672876800000,2023-01-05,2.508e-05,0.42227775
1672963200000,2023-01-06,2.526e-05,0.42828474
1673049600000,2023-01-07,2.534e-05,0.42934539
1673136000000,2023-01-08,2.533e-05,0.43388962
1673222400000,2023-01-09,2.521e-05,0.43318346
1673308800000,2023-01-10,2.54e-05,0.44310789
1673395200000,2023-01-11,2.542e-05,0.45624461
1673481600000,2023-01-12,2.548e-05,0.48038878
1673568000000,2023-01-13,2.53e-05,0.5043846
1673654400000,2023-01-14,2.542e-05,0.53273475
1673740800000,2023-01-15,2.559e-05,0.53417945
1673827200000,2023-01-16,2.547e-05,0.53974161
1673913600000,2023-01-17,2.591e-05,0.54784982
1674000000000,2023-01-18,2.64e-05,0.5461268
1674086400000,2023-01-19,2.699e-05,0.56907861
1674172800000,2023-01-20,2.616e-05,0.5933706
1674259200000,2023-01-21,2.621e-05,0.5969514
1674345600000,2023-01-22,2.669e-05,0.60625263
1674432000000,2023-01-23,2.702e-05,0.61916711
1674518400000,2023-01-24,2.733e-05,0.61852116
1674604800000,2023-01-25,2.726e-05,0.62876574
1674691200000,2023-01-26,2.71e-05,0.62354516
1674777600000,2023-01-27,2.727e-05,0.62870908
1674864000000,2023-01-28,2.746e-05,0.63210778
1674950400000,2023-01-29,2.763e-05,0.65600955
1675036800000,2023-01-30,2.831e-05,0.64623554
1675123200000,2023-01-31,2.824e-05,0.65304735
1675209600000,2023-02-01,2.803e-05,0.66501021
1675296000000,2023-02-02,2.781e-05,0.65305629
1675382400000,2023-02-03,2.8e-05,0.65585742
1675468800000,2023-02-04,2.804e-05,0.65382916
1675555200000,2023-02-05,2.807e-05,0.64390548
1675641600000,2023-02-06,2.836e-05,0.64545822
1675728000000,2023-02-07,2.843e-05,0.66070023
1675814400000,2023-02-08,2.857e-05,0.65573753
1675900800000,2023-02-09,2.871e-05,0.62564217
1675987200000,2023-02-10,2.914e-05,0.63023176
1676073600000,2023-02-11,2.939e-05,0.64226271
1676160000000,2023-02-12,2.938e-05,0.6398474
1676246400000,2023-02-13,3.005e-05,0.65395831
1676332800000,2023-02-14,3.038e-05,0.67439772
1676419200000,2023-02-15,3.122e-05,0.75948872
1676505600000,2023-02-16,3.193e-05,0.75135769
1676592000000,2023-02-17,3.239e-05,0.79604033
1676678400000,2023-02-18,3.24e-05,0.79758703
1676764800000,2023-02-19,3.252e-05,0.78886307
1676851200000,2023-02-20,3.289e-05,0.81632217
