start_time,date,flow_mean,flow_total,transactions_count_flow
1672531200000,2023-01-01,1.22276182,7.33657095,6
1672617600000,2023-01-02,1.00597883,7.04185182,7
1672704000000,2023-01-03,0.88771019,7.98939172,9
1672790400000,2023-01-04,1.82089859,9.10449293,5
1672876800000,2023-01-05,1.55912605,7.79563027,5
1672963200000,2023-01-06,1.02534266,8.2027413,8
1673049600000,2023-01-07,1.32235161,7.93410964,6
1673136000000,2023-01-08,0.82853257,7.45679317,9
1673222400000,2023-01-09,0.92808845,9.28088449,10
1673308800000,2023-01-10,1.08527053,8.68216423,8
1673395200000,2023-01-11,1.3818433,8.29105978,6
1673481600000,2023-01-12,15.46505312,108.25537183,7
1673568000000,2023-01-13,11.51792384,80.62546691,7
1673654400000,2023-01-14,15.41946172,107.93623205,7
1673740800000,2023-01-15,10.95165753,120.46823284,11
1673827200000,2023-01-16,1.04621262,7.32348836,7
1673913600000,2023-01-17,1.49244906,7.4622453,5
1674000000000,2023-01-18,1.66332071,11.643245,7
1674086400000,2023-01-19,1.47730637,7.38653183,5
1674172800000,2023-01-20,1.7709976,14.1679808,8
1674259200000,2023-01-21,11.94457523,107.50117704,9
1674345600000,2023-01-22,1.69043337,8.45216685,5
1674432000000,2023-01-23,11.9686736,107.71806237,9
1674518400000,2023-01-24,1.21211592,7.27269551,6
1674604800000,2023-01-25,11.9494377,107.54493927,9
1674691200000,2023-01-26,1.27307508,7.63845048,6
1674777600000,2023-01-27,1.24317769,7.45906614,6
1674864000000,2023-01-28,13.40825978,107.26607827,8
1674950400000,2023-01-29,1.49598299,7.47991497,5
1675036800000,2023-01-30,0.88323176,7.06585406,8
1675123200000,2023-01-31,1.35786727,6.78933636,5
1675209600000,2023-02-01,0.78657516,7.07917641,9
1675296000000,2023-02-02,1.22249173,7.33495036,6
1675382400000,2023-02-03,1.43029685,8.58178111,6
1675468800000,2023-02-04,1.13516291,7.94614038,7
1675555200000,2023-02-05,7.80963905,46.85783428,6
1675641600000,2023-02-06,4.14251097,37.28259877,9
1675728000000,2023-02-07,1.3360419,6.68020952,5
1675814400000,2023-02-08,1.31284217,6.56421086,5
1675900800000,2023-02-09,1.03479773,7.2435841,7
1675987200000,2023-02-10,1.15624285,6.93745708,6
1676073600000,2023-02-11,1.40229511,7.01147556,5
1676160000000,2023-02-12,1.10879553,7.76156872,7
1676246400000,2023-02-13,8.34863747,83.48637472,10
1676332800000,2023-02-14,1.14606374,8.02244615,7
1676419200000,2023-02-15,1.07249856,6.43499138,6
1676505600000,2023-02-16,2.2934967,13.7609802,6
1676592000000,2023-02-17,1.00127375,7.00891624,7
1676678400000,2023-02-18,0.94391438,6.60740064,7
1676764800000,2023-02-19,0.76493088,6.88437791,9
1676851200000,2023-02-20,1.03476387,7.2433471,7
1676937600000,2023-02-21,0.9535716,6.67500117,7
1677024000000,2023-02-22,0.78978864,7.89788642,10
1677110400000,2023-02-23,1.07617178,7.53320246,7
1677196800000,2023-02-24,0.87052255,7.83470298,9
1677283200000,2023-02-25,0.97969636,6.85787453,7
1677369600000,2023-02-26,0.91551936,6.40863552,7
1677456000000,2023-02-27,0.85901596,6.87212772,8
1677542400000,2023-02-28,0.83877925,6.71023396,8
1677628800000,2023-03-01,1.10063048,6.60378288,6
1677715200000,2023-03-02,0.44537703,6.23527836,14
1677801600000,2023-03-03,1.11448954,7.80142681,7
1677888000000,2023-03-04,0.76736631,7.67366313,10
1677974400000,2023-03-05,0.78463704,7.06173337,9
1678060800000,2023-03-06,0.58421004,7.59473053,13
1678147200000,2023-03-07,0.65949595,7.91395136,12
1678233600000,2023-03-08,1.46776908,10.27438358,7
1678320000000,2023-03-09,0.68720888,7.55929769,11
1678406400000,2023-03-10,0.9458528,7.56682239,8
1678492800000,2023-03-11,0.72420385,6.51783463,9
1678579200000,2023-03-12,0.96539183,5.79235096,6
1678665600000,2023-03-13,9.2559519,157.35118234,17
1678752000000,2023-03-14,11.80264194,106.2237775,9
1678838400000,2023-03-15,0.80505041,7.24545372,9
1678924800000,2023-03-16,7.90337583,79.03375834,10
1679011200000,2023-03-17,6.35525041,108.039257,17
1679097600000,2023-03-18,0.29105676,13.97072446,48
1679184000000,2023-03-19,1.75607786,38.63371292,22
1679270400000,2023-03-20,5.4756032,158.79249275,29
1679356800000,2023-03-21,2.9072197,58.14439396,20
1679443200000,2023-03-22,0.40014664,7.60278609,19
1679529600000,2023-03-23,0.49857124,10.46999603,21
1679616000000,2023-03-24,0.35665339,7.8463745,22
1679702400000,2023-03-25,0.59520061,6.54720673,11
1679788800000,2023-03-26,0.47399885,6.63598394,14
1679875200000,2023-03-27,0.31639229,7.27702268,23
1679961600000,2023-03-28,0.4010702,7.21926356,18
1680048000000,2023-03-29,0.37748536,7.17222182,19
1680134400000,2023-03-30,0.37177357,7.8072449,21
1680220800000,2023-03-31,0.61537686,6.15376856,10
1680307200000,2023-04-01,0.57736268,7.50571478,13
1680393600000,2023-04-02,0.36203799,7.60279787,21
1680480000000,2023-04-03,0.46244058,8.32393045,18
1680566400000,2023-04-04,0.34207779,7.86778911,23
1680652800000,2023-04-05,0.60377482,10.86794674,18
1680739200000,2023-04-06,0.38832251,6.60148273,17
1680825600000,2023-04-07,0.57463519,8.04489264,14
1680912000000,2023-04-08,5.10402773,56.14430507,11
1680998400000,2023-04-09,0.41548077,7.06317316,17
1681084800000,2023-04-10,6.26421925,106.49172719,17
1681171200000,2023-04-11,0.45290009,7.69930158,17
1681257600000,2023-04-12,0.42246756,6.33701347,15
1681344000000,2023-04-13,0.38288944,7.65778888,20
1681430400000,2023-04-14,0.39064029,6.25024464,16
1681516800000,2023-04-15,0.40393002,5.65502025,14
1681603200000,2023-04-16,0.45477087,7.27633393,16
1681689600000,2023-04-17,0.36280832,6.16774146,17
1681776000000,2023-04-18,0.55310008,8.29650117,15
1681862400000,2023-04-19,0.27867027,5.57340536,20
1681948800000,2023-04-20,0.43959041,8.79180813,20
1682035200000,2023-04-21,0.39692597,5.95388954,15
1682121600000,2023-04-22,0.34194833,5.47117326,16
1682208000000,2023-04-23,0.62609294,8.13920826,13
1682294400000,2023-04-24,0.39230299,5.49224191,14
1682380800000,2023-04-25,0.39834406,6.37350496,16
1682467200000,2023-04-26,0.36590838,5.12271725,14
1682553600000,2023-04-27,0.1879428,5.63828401,30
1682640000000,2023-04-28,0.22766297,5.69157437,25
1682726400000,2023-04-29,0.37994998,6.83909969,18
1682812800000,2023-04-30,0.16791595,9.40329316,56
1682899200000,2023-05-01,1.53890178,132.34555323,86
1682985600000,2023-05-02,0.22007203,10.78352945,49
1683072000000,2023-05-03,0.15984439,15.1852174,95
1683158400000,2023-05-04,0.21012193,10.92634047,52
1683244800000,2023-05-05,1.46114874,116.89189915,80
1683331200000,2023-05-06,0.17294913,22.31043727,129
1683417600000,2023-05-07,0.15676747,11.91432765,76
1683504000000,2023-05-08,0.2065224,28.70661417,139
1683590400000,2023-05-09,0.18823474,33.88225372,180
1683676800000,2023-05-10,0.15428763,23.45171992,152
1683763200000,2023-05-11,0.11620493,15.8038711,136
1683849600000,2023-05-12,0.15756963,22.69002636,144
1683936000000,2023-05-13,0.28906352,19.07819209,66
1684022400000,2023-05-14,0.11883669,11.88366928,100
1684108800000,2023-05-15,0.16181648,15.85801489,98
1684195200000,2023-05-16,0.14829927,12.90203654,87
1684281600000,2023-05-17,0.13089106,15.31425345,117
