start_time,date,mvrv
1672531200000,2023-01-01,0.84089106
1672617600000,2023-01-02,0.84415281
1672704000000,2023-01-03,0.84440218
1672790400000,2023-01-04,0.85366879
1672876800000,2023-01-05,0.85328278
1672963200000,2023-01-06,0.85971953
1673049600000,2023-01-07,0.85925766
1673136000000,2023-01-08,0.86899005
1673222400000,2023-01-09,0.87176799
1673308800000,2023-01-10,0.88536288
1673395200000,2023-01-11,0.91173838
1673481600000,2023-01-12,0.95707219
1673568000000,2023-01-13,1.0115879
1673654400000,2023-01-14,1.06277929
1673740800000,2023-01-15,1.05848788
1673827200000,2023-01-16,1.07385078
1673913600000,2023-01-17,1.07089308
1674000000000,2023-01-18,1.04782467
1674086400000,2023-01-19,1.06798843
1674172800000,2023-01-20,1.14847238
1674259200000,2023-01-21,1.15274197
1674345600000,2023-01-22,1.1488325
1674432000000,2023-01-23,1.15884657
1674518400000,2023-01-24,1.14401935
1674604800000,2023-01-25,1.16564289
1674691200000,2023-01-26,1.16322804
1674777600000,2023-01-27,1.16663436
1674864000000,2023-01-28,1.16459641
1674950400000,2023-01-29,1.20050403
1675036800000,2023-01-30,1.15407338
1675123200000,2023-01-31,1.16885655
1675209600000,2023-02-01,1.19789454
1675296000000,2023-02-02,1.18524188
1675382400000,2023-02-03,1.18196428
1675468800000,2023-02-04,1.17629887
1675555200000,2023-02-05,1.15694608
1675641600000,2023-02-06,1.14770098
1675728000000,2023-02-07,1.17179939
1675814400000,2023-02-08,1.15719318
1675900800000,2023-02-09,1.09866275
1675987200000,2023-02-10,1.09082016
1676073600000,2023-02-11,1.10224804
1676160000000,2023-02-12,1.09874518
1676246400000,2023-02-13,1.09819716
1676332800000,2023-02-14,1.12024559
1676419200000,2023-02-15,1.22703032
1676505600000,2023-02-16,1.18561459
1676592000000,2023-02-17,1.23801928
1676678400000,2023-02-18,1.23993269
1676764800000,2023-02-19,1.2213742
1676851200000,2023-02-20,1.24930011
1676937600000,2023-02-21,1.23075112
1677024000000,2023-02-22,1.21731759
1677110400000,2023-02-23,1.20482251
1677196800000,2023-02-24,1.16681812
1677283200000,2023-02-25,1.16577578
1677369600000,2023-02-26,1.18592137
