start_time,c,h,l,o,t
1672531200000,-0.001488,0.01,-0.001567,0.01,1672531200
1672617600000,0.01,0.01,-0.004679,-0.001488,1672617600
1672704000000,0.006478,0.01,0.002922,0.01,1672704000
1672790400000,0.005448,0.01,0.003231,0.006478,1672790400
1672876800000,0.005548,0.00852,0.001756,0.005448,1672876800
1672963200000,0.00248,0.01,0.002449,0.005548,1672963200
1673049600000,0.005654,0.01,-0.001756,0.00248,1673049600
1673136000000,0.005679,0.01,0.00181,0.005654,1673136000
1673222400000,0.002441,0.006159,-0.002595,0.005679,1673222400
1673308800000,0.002761,0.01,0.002051,0.002441,1673308800
1673395200000,0.007517,0.007517,-0.003025,0.002761,1673395200
1673481600000,0.01,0.01,0.007517,0.007517,1673481600
1673568000000,0.0087,0.01,0.003026,0.01,1673568000
1673654400000,0.013795,0.053614,0.0087,0.0087,1673654400
1673740800000,0.01,0.022718,0.01,0.013795,1673740800
1673827200000,0.01,0.01,0.01,0.01,1673827200
1673913600000,0.01,0.01,0.01,0.01,1673913600
1674000000000,0.01,0.01,0.01,0.01,1674000000
1674086400000,0.01,0.01,0.01,0.01,1674086400
1674172800000,0.01,0.01,0.01,0.01,1674172800
1674259200000,0.01,0.01,0.01,0.01,1674259200
1674345600000,0.01,0.01,0.01,0.01,1674345600
1674432000000,0.01,0.01,0.01,0.01,1674432000
1674518400000,0.01,0.01,0.01,0.01,1674518400
1674604800000,0.01,0.01,0.01,0.01,1674604800
1674691200000,0.01,0.01,0.01,0.01,1674691200
1674777600000,0.01,0.01,0.006491,0.01,1674777600
1674864000000,0.01,0.01,0.01,0.01,1674864000
1674950400000,0.01,0.01,0.01,0.01,1674950400
1675036800000,0.01,0.01,0.01,0.01,1675036800
1675123200000,0.01,0.01,0.01,0.01,1675123200
1675209600000,0.01,0.01,0.01,0.01,1675209600
1675296000000,0.01,0.01,0.01,0.01,1675296000
1675382400000,0.01,0.01,0.01,0.01,1675382400
1675468800000,0.01,0.01,0.01,0.01,1675468800
1675555200000,0.01,0.01,0.01,0.01,1675555200
1675641600000,0.01,0.01,0.01,0.01,1675641600
1675728000000,0.01,0.01,0.01,0.01,1675728000
1675814400000,0.01,0.01,0.01,0.01,1675814400
1675900800000,0.01,0.01,0.01,0.01,1675900800
1675987200000,0.007742,0.01,0.007742,0.01,1675987200
1676073600000,0.005343,0.01,0.004176,0.007742,1676073600
1676160000000,0.002098,0.01,0.000026,0.005343,1676160000
1676246400000,0.01,0.01,0.000633,0.002098,1676246400
1676332800000,0.002409,0.01,0.002187,0.01,1676332800
1676419200000,0.01,0.01,0.000955,0.002409,1676419200
1676505600000,0.01,0.025877,0.01,0.01,1676505600
1676592000000,0.01,0.01,0.01,0.01,1676592000
1676678400000,0.01,0.01,0.01,0.01,1676678400
1676764800000,0.01,0.01,0.01,0.01,1676764800
1676851200000,0.01,0.01,0.01,0.01,1676851200
1676937600000,0.01,0.01,0.01,0.01,1676937600
1677024000000,0.01,0.01,0.01,0.01,1677024000
1677110400000,0.004978,0.01,0.003297,0.01,1677110400
1677196800000,0.001219,0.01,-0.004223,0.004978,1677196800
1677283200000,0.007378,0.0075,-0.00108,0.001219,1677283200
1677369600000,0.008133,0.01,0.001324,0.007378,1677369600
1677456000000,0.003414,0.009147,0.000554,0.008133,1677456000
1677542400000,0.000224,0.006431,-0.00078,0.003414,1677542400
