start_time,longLiquidationUsd,shortLiquidationUsd,t
1672531200000,43312.23488,274726.3593,1672531200
1672617600000,364504.39332,1462672.2698,1672617600
1672704000000,656198.0279,372521.02364,1672704000
1672790400000,596147.39754,2571795.00107,1672790400
1672876800000,111107.79987,414768.56399,1672876800
1672963200000,849226.92083,2272051.24297,1672963200
1673049600000,23001.46513,107725.83115,1673049600
1673136000000,690489.56443,2346049.58037,1673136000
1673222400000,1536813.13605,4808273.19338,1673222400
1673308800000,327594.9889,2313085.1066,1673308800
1673395200000,692666.76203,4043010.39668,1673395200
1673481600000,4395496.13973,6354721.25287,1673481600
1673568000000,2508252.17748,7963705.12518,1673568000
1673654400000,6499734.14621,15136990.24432,1673654400
1673740800000,2425891.61923,2406604.62812,1673740800
1673827200000,3137605.91716,3795771.8693,1673827200
1673913600000,3871942.94507,2989862.98246,1673913600
1674000000000,5198078.28313,4551322.09579,1674000000
1674086400000,1269079.7714,3171757.54131,1674086400
1674172800000,1701642.38043,7025551.51967,1674172800
1674259200000,3429666.3712,5091275.84974,1674259200
1674345600000,2430503.75281,4157830.37603,1674345600
1674432000000,1688679.15173,4800623.74291,1674432000
1674518400000,4789767.40313,2290938.3865,1674518400
1674604800000,3187215.25101,8087890.029,1674604800
1674691200000,1922839.25714,2412493.78642,1674691200
1674777600000,2714945.32665,3338339.7184,1674777600
1674864000000,1058879.74248,436170.88682,1674864000
1674950400000,1183863.46055,6231388.19359,1674950400
1675036800000,5062912.56913,2442000.85852,1675036800
1675123200000,1827199.88735,2350455.60026,1675123200
1675209600000,2125001.27718,3883950.57033,1675209600
1675296000000,4545051.958,3603684.2094,1675296000
1675382400000,2050336.01544,2185636.91783,1675382400
1675468800000,1160537.092,945667.89549,1675468800
1675555200000,2438633.83911,1136958.1598,1675555200
1675641600000,2699808.84717,1936433.13104,1675641600
1675728000000,1477923.02453,2916359.73828,1675728000
1675814400000,3299310.33513,1642767.85299,1675814400
1675900800000,8654293.87521,2578421.72965,1675900800
