start_time,c,h,l,o,t
1672531200000,108854.59,108930.81,105561.14,105692.78,1672531200
1672617600000,105155.14,108882,105155.14,108854.59,1672617600
1672704000000,105095.11,108286.83,105046.4,105155.14,1672704000
1672790400000,101527.77,105336.93,101441.85,105095.11,1672790400
1672876800000,103940.72,104790.51,100961.28,101527.77,1672876800
1672963200000,103606.14,105450.2,102646.02,103940.72,1672963200
1673049600000,105490.97,105848.08,103606.14,103606.14,1673049600
1673136000000,102822.73,106390.29,102727.5,105490.97,1673136000
1673222400000,103305.96,108411.79,102822.73,102822.73,1673222400
1673308800000,113090.62,113091.77,103031.62,103305.96,1673308800
1673395200000,106927,114415.85,106209.4,113090.62,1673395200
1673481600000,108920.99,113387.07,104050.11,106927,1673481600
1673568000000,111319.66,116864.28,108920.99,108920.99,1673568000
1673654400000,93682.13,111352.05,90925.08,111319.66,1673654400
1673740800000,94267.26,97004.65,92042.77,93682.13,1673740800
1673827200000,97971.75,99739.54,91958.29,94267.26,1673827200
1673913600000,101982.73,102453.1,95944.51,97971.75,1673913600
1674000000000,101713.36,106211.32,99528.03,101982.73,1674000000
1674086400000,105068.19,105539.05,100683.11,101713.36,1674086400
1674172800000,98669.82,111328.64,95597.41,105068.19,1674172800
1674259200000,95498.7,100714.03,92382.8,98669.82,1674259200
1674345600000,94282.09,97125.86,93581.59,95498.7,1674345600
1674432000000,92121.03,96539.2,92023.12,94282.09,1674432000
1674518400000,92273.67,94629.84,91321.77,92121.03,1674518400
1674604800000,85901.01,95176.49,85528.43,92273.67,1674604800
1674691200000,88639.93,90207.3,85596.69,85901.01,1674691200
1674777600000,90142.17,92397,86459.85,88639.93,1674777600
1674864000000,90402.88,90939.29,89321.37,90142.17,1674864000
1674950400000,103276.93,105147.69,89375.11,90402.88,1674950400
1675036800000,93416.2,104910.57,93246.05,103276.93,1675036800
1675123200000,97518.54,101123.5,93324.39,93416.2,1675123200
1675209600000,100274.53,100555.86,95534.08,97518.54,1675209600
1675296000000,97798.21,100666.38,96931.11,100274.53,1675296000
1675382400000,96641.07,100907.13,96641.07,97798.21,1675382400
1675468800000,98604.73,99698.45,95658.72,96641.07,1675468800
1675555200000,102608.5,103586.95,98604.73,98604.73,1675555200
1675641600000,103065.56,106054.31,102041.56,102608.5,1675641600
1675728000000,101400.65,105508.95,100417.44,103065.56,1675728000
1675814400000,104903.59,107919.73,100456.57,101400.65,1675814400
1675900800000,99817.78,107958.57,98953.83,104903.59,1675900800
1675987200000,101858.94,104399.6,99817.78,99817.78,1675987200
1676073600000,101867.6,105340.24,101274.97,101858.94,1676073600
1676160000000,98993.02,102299.47,97795.83,101867.6,1676160000
1676246400000,100152.33,104515.52,98597.8,98993.02,1676246400
1676332800000,103429.88,104631.03,99121.24,100152.33,1676332800
1676419200000,108680.47,111704.29,102243.91,103429.88,1676419200
1676505600000,108299.9,114655.6,106531.32,108680.47,1676505600
1676592000000,107854.72,110047.87,101936.89,108299.9,1676592000
1676678400000,110174.71,110850.65,107650.74,107854.72,1676678400
1676764800000,106962.86,116699.32,106924.79,110174.71,1676764800
1676851200000,111204.95,114604.06,104369.24,106962.86,1676851200
1676937600000,109683.31,118037.7,108101.32,111204.95,1676937600
1677024000000,105258.41,112481.84,105148.38,109683.31,1677024000
1677110400000,104264.61,107908.15,103798.4,105258.41,1677110400
1677196800000,105788.58,110336.41,103338.53,104264.61,1677196800
1677283200000,109621.68,112431.79,105654.35,105788.58,1677283200
1677369600000,106768.94,110410.51,105787.21,109621.68,1677369600
1677456000000,100739.6,108567.81,100300.74,106768.94,1677456000
1677542400000,103324.96,104602.15,100214.9,100739.6,1677542400
1677628800000,103708.81,108521.35,102950.39,103324.96,1677628800
1677715200000,108424.91,110500.77,103375.16,103708.81,1677715200
1677801600000,101615.51,108704.89,99609.67,108424.91,1677801600
1677888000000,99547,101824.12,98316.8,101615.51,1677888000
1677974400000,99444.75,101275.7,96405.71,99547,1677974400
1678060800000,103611.47,107426.48,99003.97,99444.75,1678060800
1678147200000,104658.7,105135.12,102088.93,103611.47,1678147200
1678233600000,107107.95,109671.6,103302.64,104658.7,1678233600
1678320000000,99050.22,115515.38,98742.81,107107.95,1678320000
1678406400000,96751.87,101472.02,93896.17,99050.22,1678406400
1678492800000,92235.73,97795.62,90201.75,96751.87,1678492800
1678579200000,87568.7,97293.64,85834.67,92235.73,1678579200
1678665600000,99048.07,100576.95,87568.7,87568.7,1678665600
1678752000000,96712.29,115046.89,95566.48,99048.07,1678752000
1678838400000,93299.95,104788.13,92802.72,96712.29,1678838400
1678924800000,103835.37,106759.07,93299.95,93299.95,1678924800
1679011200000,106755.16,119006.09,102367.04,103835.37,1679011200
1679097600000,106578.02,110144.66,102978.5,106755.16,1679097600
1679184000000,112007.18,112533.63,106307.71,106578.02,1679184000
1679270400000,111135.42,118943.39,107159.08,112007.18,1679270400
1679356800000,110475.43,116308.39,109521.35,111135.42,1679356800
1679443200000,102321.64,115105.68,102259.72,110475.43,1679443200
1679529600000,104108.36,108760.08,101366.71,102321.64,1679529600
1679616000000,98124.71,107116.79,98025.19,104108.36,1679616000
1679702400000,97229.22,100918.39,97101.08,98124.71,1679702400
1679788800000,102443.61,103877.03,96961.36,97229.22,1679788800
1679875200000,98844.47,105607.92,98600.12,102443.61,1679875200
1679961600000,102253.78,102794.14,98788.26,98844.47,1679961600
1680048000000,109417.08,110821.47,100392.88,102253.78,1680048000
1680134400000,101867.16,110068.87,101175.58,109417.08,1680134400
1680220800000,107684.86,108669.68,100342.33,101867.16,1680220800
1680307200000,105946.33,108125.54,105608.07,107684.86,1680307200
1680393600000,104922.32,108372.4,103605.1,105946.33,1680393600
1680480000000,94326.54,105241.22,93685.73,104922.32,1680480000
1680566400000,97209.34,100164.07,94199.69,94326.54,1680566400
1680652800000,96117.27,102054.87,95292.47,97209.34,1680652800
1680739200000,98536.33,101774.25,95964.72,96117.27,1680739200
1680825600000,101973.74,102609.74,98441.57,98536.33,1680825600
1680912000000,101806.74,102240.58,100963.39,101973.74,1680912000
1680998400000,103684.39,103984.47,99106.76,101806.74,1680998400
1681084800000,118583.37,121989.02,103341.5,103684.39,1681084800
1681171200000,114101.4,119470.7,111911.54,118583.37,1681171200
1681257600000,113825.96,115356.07,110981.48,114101.4,1681257600
1681344000000,112053.99,116687.08,110724.11,113825.96,1681344000
1681430400000,99957.16,112204.44,99686.57,112053.99,1681430400
1681516800000,101319.12,102065.3,99698.15,99957.16,1681516800
1681603200000,100077.65,102238.86,99746.72,101319.12,1681603200
1681689600000,100617.89,101924.65,97354.44,100077.65,1681689600
1681776000000,99077.68,101321.73,97872.52,100617.89,1681776000
1681862400000,96417.72,102810.83,94510.63,99077.68,1681862400
1681948800000,99071.82,100708.83,96182.72,96417.72,1681948800
1682035200000,102377.22,106222.77,99071.82,99071.82,1682035200
1682121600000,104767.34,107227.3,102377.22,102377.22,1682121600
1682208000000,103424.45,106634.48,103126.36,104767.34,1682208000
1682294400000,102573.04,106318.95,101342.6,103424.45,1682294400
1682380800000,101865.37,104456.61,100344.66,102573.04,1682380800
1682467200000,92530.63,109129.24,89962.48,101865.37,1682467200
1682553600000,99128.75,99839.88,89702.82,92530.63,1682553600
1682640000000,100399.45,103610.78,98939.07,99128.75,1682640000
1682726400000,100323.92,103417.24,100036.39,100399.45,1682726400
1682812800000,98481.44,105280.87,98481.44,100323.92,1682812800
1682899200000,101951.27,104295.33,95110.68,98481.44,1682899200
1682985600000,101412.38,107098.36,101146.1,101951.27,1682985600
1683072000000,96975.36,101899.02,94896.71,101412.38,1683072000
1683158400000,101258.78,103074.41,96940.63,96975.36,1683158400
1683244800000,105092.19,106851.31,99039.19,101258.78,1683244800
1683331200000,98695.39,105629.89,98030.39,105092.19,1683331200
1683417600000,100024.99,100703.6,97705.57,98695.39,1683417600
1683504000000,105639.12,106700.06,99490.66,100024.99,1683504000
1683590400000,108501.25,111341.84,105128.59,105639.12,1683590400
1683676800000,101867.76,109442.28,100861.55,108501.25,1683676800
1683763200000,108759.58,110064.82,101379.65,101867.76,1683763200
1683849600000,106886.18,113409.92,106832.23,108759.58,1683849600
1683936000000,107539.65,109062.43,105548.35,106886.18,1683936000
1684022400000,107815.12,109281.95,105995.2,107539.65,1684022400
1684108800000,107244.88,108877.73,106442.47,107815.12,1684108800
1684195200000,108801.71,109790.21,104693.02,107244.88,1684195200
1684281600000,107824.65,112909.11,107201.6,108801.71,1684281600
1684368000000,104896.17,110295.77,104394.9,107824.65,1684368000
1684454400000,104121.33,106667.75,104119.28,104896.17,1684454400
1684540800000,104806.25,106198.69,103778.13,104121.33,1684540800
1684627200000,106079.54,107202.62,103945.79,104806.25,1684627200
1684713600000,105283.77,109541.07,105059.01,106079.54,1684713600
1684800000000,105000.3,106088.06,103167.69,105283.77,1684800000
1684886400000,114971.52,115903.64,103326.44,105000.3,1684886400
1684972800000,111996.09,117927.75,110989.93,114971.52,1684972800
1685059200000,106119.9,112057.16,106056.27,111996.09,1685059200
1685145600000,108501.61,109122.95,106103.91,106119.9,1685145600
1685232000000,111022.91,114607.99,106481.93,108501.61,1685232000
1685318400000,111672.26,113193.63,108841.23,111096,1685318400
1685404800000,111176.22,112299.22,110246.28,111672.26,1685404800
1685491200000,111661,114095.54,108210.75,111176.22,1685491200
1685577600000,113543.48,115315.33,108696.49,111661,1685577600
1685664000000,112593.16,114671.04,112393.22,113543.48,1685664000
1685750400000,114458.29,114532.15,111986.18,112593.16,1685750400
1685836800000,108783.3,115186.71,108719.63,114458.29,1685836800
1685923200000,119538.07,121120.59,108783.3,108783.3,1685923200
1686009600000,109365.86,122500.74,108846.53,119538.07,1686009600
1686096000000,103184.79,110474.67,102960.81,109365.86,1686096000
1686182400000,103394.47,106454.75,103152.87,103184.79,1686182400
1686268800000,102597.69,104573.64,101479.37,103394.47,1686268800
1686355200000,101885.4,108339.32,97025.37,102597.69,1686355200
1686441600000,99327.18,103209.77,99119.56,101885.4,1686441600
1686528000000,102410.65,102773.58,98773.49,99327.18,1686528000
1686614400000,103288.66,103828.68,100252.94,102410.65,1686614400
1686700800000,103675.34,104772.8,99598.64,103288.66,1686700800
1686787200000,104074.78,111992.36,103675.34,103675.34,1686787200
1686873600000,104680.41,107118.41,102662.11,104074.78,1686873600
1686960000000,103284.04,105696.11,101316.7,104680.41,1686960000
1687046400000,104260,107193.3,102990.74,103284.04,1687046400
1687132800000,109052.03,110500.87,103803.95,104260,1687132800
1687219200000,121466.02,122075.1,108690.68,109052.03,1687219200
1687305600000,116976.7,126284.37,115264.97,121466.02,1687305600
1687392000000,117898.14,118842.22,114116.16,116976.7,1687392000
1687478400000,115000.63,122842.69,115000.63,117898.14,1687478400
1687564800000,113491.65,115354.69,112810.8,115000.63,1687564800
1687651200000,113873.82,116303.05,113237.15,113491.65,1687651200
1687737600000,114992.63,116942.37,112149.81,113873.82,1687737600
1687824000000,116044.1,117877.81,114577.83,114992.63,1687824000
1687910400000,112186.7,116398.93,110057.85,116044.1,1687910400
1687996800000,118226.32,120264.18,112039.86,112186.7,1687996800
1688083200000,105968.31,125118.44,105367.73,118226.32,1688083200
1688169600000,109281.26,109499.67,105246.52,105968.31,1688169600
1688256000000,108566.7,110383.83,107088.41,109281.26,1688256000
1688342400000,117966.72,120513.51,108562.27,108566.7,1688342400
1688428800000,114033.78,120088.59,113756.92,117966.72,1688428800
1688515200000,112591.08,114661.2,111271.91,114033.78,1688515200
1688601600000,103058.24,125065.07,102815.43,112591.08,1688601600
1688688000000,103526.16,103580.21,101284.36,103058.24,1688688000
1688774400000,103597.88,104200.22,101944.22,103526.16,1688774400
1688860800000,102281.53,104917.76,101862.03,103597.88,1688860800
1688947200000,106065.48,114371.34,101475.59,102281.53,1688947200
1689033600000,107991.64,108294.41,105548.62,106065.48,1689033600
1689120000000,111144.95,114766.17,107571.01,107991.64,1689120000
1689206400000,111394.05,118153.64,108540.09,111144.95,1689206400
1689292800000,101185.13,112274.17,96176.34,111394.05,1689292800
1689379200000,100110.5,101573.74,99976.49,101185.13,1689379200
1689465600000,100936.04,102109.71,99458.12,100110.5,1689465600
1689552000000,104806.59,107457.15,100936.04,100936.04,1689552000
1689638400000,106822.54,109931.95,104748.17,104806.59,1689638400
1689724800000,104806.92,107501.56,104408.67,106822.54,1689724800
1689811200000,109709.93,110352.29,102832.15,104806.92,1689811200
1689897600000,106634.71,110500.97,106406.68,109709.93,1689897600
1689984000000,105746.39,107793.26,104775.07,106634.71,1689984000
1690070400000,100350.05,105746.39,100340.27,105746.39,1690070400
1690156800000,111779.4,112425.79,100136.42,100350.05,1690156800
1690243200000,108310.56,112549.08,107892.36,111779.4,1690243200
1690329600000,109254.77,109817.74,104190.28,108310.56,1690329600
1690416000000,109907.27,112631.88,108362.3,109254.77,1690416000
1690502400000,107957.29,111011.27,107665.73,109907.27,1690502400
1690588800000,108183.07,110217.09,107597.2,107957.29,1690588800
1690675200000,106297.75,109486.68,105742.25,108183.07,1690675200
1690761600000,108880.09,110525.62,104720.82,106297.75,1690761600
1690848000000,108920.79,112356.14,105849.93,108880.09,1690848000
1690934400000,112350.92,114587.53,108920.79,108920.79,1690934400
1691020800000,111573.01,114504.94,111573.01,112350.92,1691020800
1691107200000,114692.27,114878.09,110647.18,111573.01,1691107200
1691193600000,112647.23,114911.28,112600.77,114692.27,1691193600
1691280000000,111132.82,112649.98,110301.99,112647.23,1691280000
1691366400000,111607.4,114773.78,110372.49,111132.82,1691366400
1691452800000,124059.35,125788.02,110405.32,111607.4,1691452800
1691539200000,117858.23,128428,117530.81,124059.35,1691539200
1691625600000,118608.82,119599.69,117594.07,117858.23,1691625600
1691712000000,118245.12,119934.95,117733.23,118608.82,1691712000
1691798400000,117197.27,118249.1,117124.3,118245.12,1691798400
1691884800000,114756.68,117310.99,114281.52,117197.27,1691884800
1691971200000,107363.63,115390.55,106656.78,114756.68,1691971200
1692057600000,114166.03,114212.89,107163.79,107363.63,1692057600
1692144000000,117037.32,118245.39,113400.68,114166.03,1692144000
1692230400000,106500.78,121871.69,106500.78,117037.32,1692230400
1692316800000,95776.67,106500.78,95773.14,106500.78,1692316800
1692403200000,87644.95,95867.86,87531.56,95776.67,1692403200
1692489600000,89721.39,90389.97,87272.68,87644.95,1692489600
1692576000000,91016.86,91746.6,89378.79,89721.39,1692576000
1692662400000,87032.97,92698.07,86514.27,91016.86,1692662400
1692748800000,83906.15,89996.72,83412.17,87032.97,1692748800
1692835200000,85603.69,87898.57,83304.09,83906.15,1692835200
1692921600000,84132.14,87534.55,84078.16,85603.69,1692921600
1693008000000,85656.57,85774.67,82905.26,84132.14,1693008000
1693094400000,86575.33,87366.09,85439.46,85656.57,1693094400
1693180800000,86262.88,89428.58,85459.06,86575.33,1693180800
1693267200000,92243.81,94763.7,86190.58,86262.88,1693267200
1693353600000,89218.83,92338.3,88773.61,92243.81,1693353600
1693440000000,82453.63,90600.78,81279.58,89218.83,1693440000
1693526400000,83652.47,86720.66,81946.89,82453.63,1693526400
1693612800000,80654.69,84617.56,80479.51,83652.47,1693612800
1693699200000,80412,82082.04,80209.65,80654.69,1693699200
1693785600000,81050.74,82564.37,80169.69,80412,1693785600
1693872000000,83814.56,85510,80637.64,81050.74,1693872000
1693958400000,83244.57,87756.23,83141.63,83814.56,1693958400
1694044800000,82788.59,86406.79,81350.6,83244.57,1694044800
1694131200000,83475.77,86373.72,82767.92,82788.59,1694131200
1694217600000,83499.25,84412.96,82862.54,83475.77,1694217600
1694304000000,81776.87,83608.18,81142.06,83499.25,1694304000
1694390400000,89427.83,90231.52,81319.09,81776.87,1694390400
1694476800000,87290.88,90248.9,83366.56,89427.83,1694476800
1694563200000,89882.4,91710.95,85504.08,87290.88,1694563200
1694649600000,91668.79,93140.55,86588.96,89882.4,1694649600
1694736000000,86657.43,91993.32,86623.2,91668.79,1694736000
1694822400000,86518.2,88864.74,86375.12,86657.43,1694822400
1694908800000,84768.77,87497.91,84348.33,86518.2,1694908800
1694995200000,89525.93,97735.23,83781.92,84768.77,1694995200
1695081600000,92721.68,96767.08,89141.08,89525.93,1695081600
1695168000000,90352.84,92772.72,89207.16,92721.68,1695168000
1695254400000,92453.98,95934.87,90248.6,90352.84,1695254400
1695340800000,92618.11,94146.15,91545.36,92453.98,1695340800
1695427200000,91363.41,92618.11,91122.52,92618.11,1695427200
1695513600000,90396.62,92296.97,89801.01,91363.41,1695513600
1695600000000,89736.21,93669.58,88797.19,90396.62,1695600000
1695686400000,91207.18,92143.2,89667.45,89736.21,1695686400
1695772800000,88292.95,97952.9,87913.3,91207.18,1695772800
1695859200000,93787.08,96631.91,87026.15,88292.95,1695859200
1695945600000,88442.74,93978.93,88442.74,93787.08,1695945600
1696032000000,90181.6,90480.75,88417.45,88442.74,1696032000
1696118400000,87479.59,94197.98,85084.14,90181.6,1696118400
1696204800000,88279.95,95443.11,87479.59,87479.59,1696204800
1696291200000,87753.45,90858.96,87600.63,88279.95,1696291200
1696377600000,90053.35,90735.45,85873.43,87753.45,1696377600
1696464000000,91610.19,94201.36,89911.88,90053.35,1696464000
1696550400000,94045.17,96495.19,89527.25,91610.19,1696550400
1696636800000,90899.68,94045.17,90369.47,94045.17,1696636800
1696723200000,92103.92,93062.74,90883.41,90899.68,1696723200
1696809600000,90826.11,95185.28,90168.55,92103.92,1696809600
1696896000000,93003.6,94315.22,89527.25,90826.11,1696896000
1696982400000,98100.86,99486.81,92318.16,93003.6,1696982400
1697068800000,96999.85,98615.24,96346.29,98100.86,1697068800
1697155200000,97295.68,98132.98,94470.53,96999.85,1697155200
1697241600000,98458.7,99461.33,97173.89,97295.68,1697241600
1697328000000,97563.4,99535.32,94812.47,98458.7,1697328000
1697414400000,89077.6,99625.66,86697.51,97563.4,1697414400
1697500800000,91208.65,91772.33,88123.66,89077.6,1697500800
1697587200000,86464.71,92315.46,86447.71,91208.65,1697587200
1697673600000,93918.5,95100.08,86379.72,86464.71,1697673600
1697760000000,90454.43,97884.33,90387.03,93918.5,1697760000
1697846400000,96361.47,97583.87,89635.71,90454.43,1697846400
1697932800000,93092.51,96667.76,92780.61,96361.47,1697932800
1698019200000,88631.24,99705.68,88583.12,93092.51,1698019200
1698105600000,84731.31,89221.54,82949.15,88631.24,1698105600
1698192000000,83907.45,88366.01,83241.09,84731.31,1698192000
1698278400000,84789.21,86158.21,83387.94,83907.45,1698278400
1698364800000,84510.71,86866.25,83865.22,84789.21,1698364800
1698451200000,84706.82,86662.65,84223.84,84510.71,1698451200
1698537600000,88057.66,90873.28,83942.8,84706.82,1698537600
1698624000000,86800.53,88681.68,84918.31,88057.66,1698624000
1698710400000,88250.47,88361.56,85198.65,86800.53,1698710400
1698796800000,86819.25,93527.41,83398.5,88250.47,1698796800
1698883200000,81442.9,88704.22,80755.65,86819.25,1698883200
1698969600000,81467.15,85589.49,81292.53,81442.9,1698969600
1699056000000,83556.75,84342.2,81378.05,81467.15,1699056000
1699142400000,86055.28,87928.3,83267.37,83556.75,1699142400
1699228800000,86157.7,88715.03,86014.51,86055.28,1699228800
1699315200000,88760.28,92463.58,86005.17,86157.7,1699315200
1699401600000,90400.43,90400.43,86630.94,88760.28,1699401600
1699488000000,79525.28,96747.27,79495.16,90400.43,1699488000
1699574400000,79820.26,82127.51,78353.28,79525.28,1699574400
1699660800000,80358.96,81291.98,79597.93,79820.26,1699660800
1699747200000,80853.26,82171.47,80247.93,80358.96,1699747200
1699833600000,80453.8,83243.07,79334.65,80853.26,1699833600
1699920000000,78834.47,83494.95,76558.17,80453.8,1699920000
1700006400000,83075.96,83268.73,78754.85,78834.47,1700006400
1700092800000,80908.92,85945.88,80908.92,83075.96,1700092800
