start_time,c,h,l,o,t,v
1672531200000,16527,16540.9,16504,16537.5,1672531200,88923087.8321
1672534800000,16550.4,16554.3,16524.1,16527.1,1672534800,53098548.7544
1672538400000,16542.4,16557.1,16534.8,16550.5,1672538400,39704662.6773
1672542000000,16529.3,16542.5,16515,16542.5,1672542000,53120600.934
1672545600000,16517.8,16530.4,16508.8,16529.2,1672545600,52048231.8487
1672549200000,16525.7,16531.1,16508,16517.8,1672549200,53976906.1162
1672552800000,16535.3,16545.7,16525.6,16525.6,1672552800,45090264.4477
1672556400000,16519.6,16537.5,16488,16535.3,1672556400,146166430.7087
1672560000000,16504.2,16524.9,16502,16519.5,1672560000,54320341.5947
1672563600000,16532.7,16536.1,16496.8,16504.3,1672563600,65217230.1976
1672567200000,16542.8,16542.9,16527.3,16532.7,1672567200,67964331.2539
1672570800000,16549.8,16549.8,16535.1,16542.9,1672570800,62340191.561
1672574400000,16553.9,16565.9,16542.9,16549.8,1672574400,90744679.2423
1672578000000,16539.9,16559.8,16530.5,16553.8,1672578000,74521134.1055
1672581600000,16533.1,16549.7,16533.1,16539.9,1672581600,40503002.3382
1672585200000,16553.1,16553.1,16524.6,16533.2,1672585200,51385027.6074
1672588800000,16556,16579,16552.6,16553,1672588800,123929105.3393
1672592400000,16573.1,16589.4,16555.5,16556.1,1672592400,101553540.0821
1672596000000,16584.3,16597,16573,16573.1,1672596000,82199321.9401
1672599600000,16596.1,16615.8,16584.2,16584.3,1672599600,122974267.8525
1672603200000,16593.8,16618.8,16592,16596.1,1672603200,82228731.1405
1672606800000,16597.6,16599.7,16584.1,16593.7,1672606800,50451079.8664
1672610400000,16594.4,16605.4,16579.1,16597.6,1672610400,60289616.8169
1672614000000,16610.3,16617.4,16594.4,16594.4,1672614000,83692900.4417
1672617600000,16578,16618.4,16572.9,16610.4,1672617600,95811324.3103
1672621200000,16556.5,16579.3,16541.2,16578,1672621200,157820331.2135
1672624800000,16580.4,16587.1,16547.5,16556.5,1672624800,54553046.5086
1672628400000,16654.6,16700.7,16575,16580.4,1672628400,300438253.7872
1672632000000,16631.8,16665,16621.8,16654.7,1672632000,136543333.3622
1672635600000,16640,16653.8,16612.8,16631.8,1672635600,114468548.0027
1672639200000,16632.4,16654.8,16627.8,16640.1,1672639200,67889389.1128
1672642800000,16712.5,16767.8,16630.8,16632.5,1672642800,571190053.5756
1672646400000,16724.5,16764,16701,16712.6,1672646400,252120809.8847
1672650000000,16710,16735.9,16705.1,16724.6,1672650000,124193608.1889
1672653600000,16720.2,16759.8,16703.2,16710,1672653600,138498893.187
1672657200000,16728.5,16734,16696,16720.1,1672657200,113250826.9707
1672660800000,16713.2,16736.1,16713,16728.4,1672660800,78248923.2632
1672664400000,16687.8,16716.5,16674.3,16713.2,1672664400,167731254.9427
1672668000000,16694.8,16702.5,16665,16687.7,1672668000,149107842.7157
1672671600000,16729.2,16744.8,16688.4,16694.7,1672671600,203826476.5429
1672675200000,16704.1,16732.9,16704,16729.2,1672675200,109495870.2904
1672678800000,16710.1,16716.5,16702.6,16704.1,1672678800,68756317.93
1672682400000,16718.3,16725.8,16703.9,16710,1672682400,53293242.1732
1672686000000,16730.5,16732.1,16711.1,16718.3,1672686000,45109236.6566
1672689600000,16722.8,16732,16702.7,16730.5,1672689600,64133889.6068
1672693200000,16751.9,16799,16715,16722.7,1672693200,152566109.0622
1672696800000,16694.6,16755.7,16685.1,16751.9,1672696800,179274047.0588
1672700400000,16666,16717.4,16650,16694.7,1672700400,192845723.7581
1672704000000,16689.1,16699.7,16639.5,16665.9,1672704000,149294774.8259
1672707600000,16670.5,16689.1,16645.5,16689,1672707600,105337309.9633
1672711200000,16666.5,16680,16665.2,16670.4,1672711200,49603015.2198
1672714800000,16684.5,16694,16661.5,16666.5,1672714800,63403651.4116
1672718400000,16678,16691.2,16675.2,16684.4,1672718400,38888347.7257
1672722000000,16720,16721.9,16677.7,16677.9,1672722000,94910769.0811
1672725600000,16719.8,16774,16717.7,16720,1672725600,250239726.0413
1672729200000,16723.1,16726.4,16700.6,16719.8,1672729200,107564452.5726
1672732800000,16710,16728.9,16691.7,16723.1,1672732800,113987676.313
1672736400000,16732.9,16750.5,16710,16710.1,1672736400,109311376.1019
1672740000000,16718.3,16740.9,16716,16732.9,1672740000,79882695.9847
1672743600000,16714.2,16729.8,16703,16718.2,1672743600,64836587.0921
1672747200000,16703.7,16721.2,16695.7,16714.2,1672747200,101358402.0874
1672750800000,16718.1,16732.2,16703.7,16703.8,1672750800,94175339.3335
1672754400000,16653.1,16764.9,16633,16718.2,1672754400,551987876.2866
1672758000000,16670.8,16674.9,16610,16653.1,1672758000,483862203.3724
1672761600000,16617.3,16680.1,16606,16670.9,1672761600,246975392.1056
1672765200000,16626,16637,16600.3,16617.3,1672765200,154632825.9705
1672768800000,16637.7,16645.8,16621.2,16626.1,1672768800,90971698.4613
1672772400000,16637.7,16652,16615.1,16637.6,1672772400,91574306.283
1672776000000,16656.1,16665.8,16636,16637.6,1672776000,110930494.2326
1672779600000,16658.8,16665.7,16652.4,16656,1672779600,64648543.8479
1672783200000,16670.1,16673,16642.9,16658.8,1672783200,67764191.9832
1672786800000,16667.2,16688.2,16660.2,16670.2,1672786800,101226619.7766
1672790400000,16655.6,16668.4,16645.7,16667.3,1672790400,71632931.5337
1672794000000,16696.1,16730,16652.3,16655.6,1672794000,238573399.2723
1672797600000,16729,16749.8,16695.5,16696.1,1672797600,180263848.2345
1672801200000,16855.9,16870,16729,16729.1,1672801200,684601479.7865
1672804800000,16852.4,16904.4,16841,16855.9,1672804800,352553580.5223
1672808400000,16848.3,16856.5,16832.3,16852.5,1672808400,132319429.502
1672812000000,16872.9,16872.9,16842.2,16848.3,1672812000,109911177.0925
1672815600000,16862.5,16885.4,16841.1,16872.8,1672815600,161943003.1402
1672819200000,16857.1,16913.6,16826.7,16862.5,1672819200,314659134.5222
1672822800000,16838.9,16860.4,16824.5,16857.1,1672822800,111422782.5021
1672826400000,16838,16840.9,16826.1,16838.9,1672826400,81608332.7299
1672830000000,16826.8,16847.4,16826.2,16837.9,1672830000,76804037.7673
1672833600000,16808,16838.7,16800.1,16826.7,1672833600,183072436.173
1672837200000,16820.1,16829.8,16804.3,16808,1672837200,93905522.4757
1672840800000,16821,16852.1,16789,16820.2,1672840800,267207662.5609
1672844400000,16846.5,16850.4,16759.3,16820.9,1672844400,472447662.4329
1672848000000,16850.7,16890.8,16824.3,16846.5,1672848000,310315960.8109
1672851600000,16885.4,16945.6,16841.8,16850.8,1672851600,352866979.3451
1672855200000,16942,16980,16864,16885.4,1672855200,398557259.0309
1672858800000,16835.9,16984.6,16777.7,16941.9,1672858800,786186966.7015
1672862400000,16801.2,16844.2,16766,16835.9,1672862400,244456776.9945
1672866000000,16819.4,16820.4,16789.1,16801.1,1672866000,88384808.9543
1672869600000,16818.7,16837.2,16808.5,16819.3,1672869600,65117551.7263
1672873200000,16842.1,16860.9,16807.3,16818.7,1672873200,109479020.3103
1672876800000,16819.9,16869,16817.4,16842.2,1672876800,139832119.1817
1672880400000,16825,16842.5,16800,16819.8,1672880400,100741746.4031
1672884000000,16827.9,16836.6,16816.9,16825,1672884000,40076079.1499
1672887600000,16819,16828.3,16810.3,16827.9,1672887600,47687880.7702
1672891200000,16829.1,16834.7,16815,16819,1672891200,42900784.775
1672894800000,16836.1,16840.7,16829,16829,1672894800,40575915.9306
1672898400000,16810.5,16836.2,16804.4,16836.2,1672898400,77201945.0988
1672902000000,16816.1,16816.7,16782.4,16810.4,1672902000,117371448.8905
1672905600000,16799.9,16822,16786.5,16816.1,1672905600,80319901.8543
1672909200000,16800.6,16806,16775.1,16799.9,1672909200,127225812.4336
1672912800000,16816.4,16829,16798.2,16800.7,1672912800,104126476.3074
1672916400000,16827,16830,16807.9,16816.4,1672916400,77524297.8555
1672920000000,16813.6,16827,16807.9,16827,1672920000,72070662.0873
1672923600000,16771.1,16821.1,16770.1,16813.6,1672923600,243872586.9374
1672927200000,16822.6,16829,16740.4,16771,1672927200,447516167.1308
1672930800000,16836.6,16872.8,16817,16822.6,1672930800,394518089.3059
1672934400000,16833,16856.8,16816,16836.7,1672934400,146413721.4157
1672938000000,16806.8,16839.8,16806.7,16833,1672938000,95435469.435
1672941600000,16837,16840,16794,16806.8,1672941600,126192967.7614
1672945200000,16856.4,16867.8,16821,16837,1672945200,123214308.3642
1672948800000,16852.8,16863.4,16839.4,16856.3,1672948800,89807121.892
1672952400000,16840,16857.8,16827.6,16852.8,1672952400,84473094.5075
1672956000000,16829.9,16848.6,16825.3,16840,1672956000,49743070.5572
1672959600000,16823.8,16838.4,16810,16829.9,1672959600,97244795.5162
1672963200000,16852.1,16865,16818.9,16823.8,1672963200,118375840.6207
1672966800000,16818.1,16854.7,16812.3,16852.1,1672966800,80942090.2952
1672970400000,16828.8,16831.2,16795.6,16818.2,1672970400,107111996.2334
1672974000000,16825.1,16834.2,16820,16828.8,1672974000,48149334.7675
1672977600000,16814.3,16828,16796.3,16825,1672977600,104515443.7155
1672981200000,16801.4,16814.4,16778.3,16814.4,1672981200,103122272.2634
1672984800000,16779.1,16807.3,16773,16801.3,1672984800,99216761.0102
1672988400000,16785.6,16796.5,16773.4,16779.2,1672988400,93850263.2757
1672992000000,16792.8,16805.3,16785.6,16785.7,1672992000,72255536.2395
1672995600000,16781.2,16792.8,16755,16792.7,1672995600,167944513.1327
1672999200000,16760.2,16796.8,16755.3,16781.3,1672999200,103924582.5658
1673002800000,16731.4,16764.1,16685.2,16760.2,1673002800,385028214.9104
1673006400000,16724.4,16742.6,16712,16731.5,1673006400,151577581.046
1673010000000,16766.9,16812.6,16664.8,16724.3,1673010000,822265879.0939
1673013600000,16742.9,16784,16715,16766.9,1673013600,329257133.4492
1673017200000,16834.2,16843,16743,16743,1673017200,411068343.5214
1673020800000,16820.6,16846.3,16801.6,16834.1,1673020800,192793446.6579
1673024400000,16814.9,16836.8,16805,16820.5,1673024400,90478370.4059
1673028000000,16841.5,16858.6,16814.9,16815,1673028000,187368694.3529
1673031600000,16932.6,16960,16837.7,16841.6,1673031600,507583965.7612
1673035200000,16888.7,17030,16881,16932.7,1673035200,711695695.6069
1673038800000,16922.9,16943.4,16881.8,16888.6,1673038800,190316069.4864
1673042400000,16948.8,16958.9,16922.9,16923,1673042400,106171038.7529
1673046000000,16943.8,16974.4,16935,16948.8,1673046000,148473857.6384
1673049600000,16970,16970,16924.8,16943.9,1673049600,108536029.6418
1673053200000,16941.1,16973.6,16935.2,16969.9,1673053200,74627611.836
1673056800000,16935,16947.4,16927.9,16941.1,1673056800,66726612.0212
1673060400000,16944.4,16948.1,16929.5,16934.9,1673060400,55858235.2462
1673064000000,16930,16945,16928,16944.3,1673064000,42783833.1751
1673067600000,16926.9,16933.2,16925.2,16930,1673067600,35670950.1956
1673071200000,16925.1,16930,16915.8,16926.8,1673071200,57720155.3967
1673074800000,16939.8,16940.9,16925.1,16925.1,1673074800,42542163.7479
1673078400000,16922.2,16946.4,16920.6,16939.8,1673078400,69955857.7565
1673082000000,16924.1,16927.1,16915.3,16922.1,1673082000,53068924.169
1673085600000,16917.1,16924.1,16905.6,16924,1673085600,47763873.337
1673089200000,16912.3,16920,16903,16917.2,1673089200,56940462.928
1673092800000,16912.6,16915.1,16902,16912.3,1673092800,55178581.5346
